village_id,latitude,longitude,elevation,x_cross_km,downscaled_jjas_rainfall_mm,inside_validated_band
mh2.geojson:4106,17.12277,74.34011,553.2,63.22,564.3,False
mh2.geojson:4107,17.11937,74.2998,558.3,58.9,668.1,False
mh2.geojson:4108,17.11834,74.33557,555.8,62.65,567.6,False
mh2.geojson:4109,17.10484,74.28166,558.5,56.68,665.6,False
mh2.geojson:4110,17.09846,74.27851,560.5,56.21,660.0,False
mh2.geojson:4111,17.04333,74.28413,570.3,55.8,733.2,False
mh2.geojson:4112,17.04857,74.25977,590.3,53.28,777.1,False
mh2.geojson:4113,17.00458,74.30603,571.1,57.61,661.8,False
mh2.geojson:4114,16.93868,74.30307,611.9,56.54,684.1,False
mh2.geojson:4115,16.87426,74.30006,557.9,55.56,656.7,False
mh2.geojson:4116,16.82174,74.29998,593.9,55.0,599.3,False
mh2.geojson:4117,16.79967,74.31657,625.8,56.55,631.6,False
mh2.geojson:4118,16.76722,74.30999,580.3,55.4,621.0,False
mh2.geojson:4119,16.73236,74.30361,544.4,54.18,671.9,False
mh2.geojson:4120,16.68678,74.30917,566.6,53.92,720.7,False
mh2.geojson:4121,16.65607,74.30095,585.5,52.37,756.7,False
mh2.geojson:4122,16.63454,74.30888,582.8,52.66,692.0,False
mh2.geojson:4123,16.62245,74.30836,608.3,52.27,709.6,False
mh2.geojson:4124,16.58687,74.31163,579.8,51.54,821.9,False
mh2.geojson:4125,16.53828,74.30687,560.2,49.35,864.4,False
mh2.geojson:4126,16.53127,74.26081,558.4,44.47,1017.0,False
mh2.geojson:4127,16.44471,74.31979,555.3,47.73,944.4,False
mh2.geojson:4128,16.43532,74.27871,561.2,43.17,1078.9,False
mh2.geojson:4129,16.42769,74.26433,573.7,41.49,1158.4,False
mh2.geojson:4130,16.41958,74.31167,564.3,46.62,1024.2,False
mh2.geojson:4131,16.40622,74.28398,575.6,43.49,1145.0,False
mh2.geojson:4132,16.39778,74.31091,582.0,46.74,930.7,False
mh2.geojson:4133,16.39195,74.29527,571.1,44.98,982.9,False
mh2.geojson:4134,16.37659,74.29779,584.6,45.71,879.5,False
mh2.geojson:4135,16.36527,74.30947,629.7,47.59,767.9,False
mh2.geojson:4136,16.35907,74.29638,589.1,46.16,789.5,False
mh2.geojson:4137,16.34705,74.30538,630.3,47.7,734.4,False
mh2.geojson:4138,16.33459,74.29409,606.2,46.65,770.1,False
mh2.geojson:4139,16.30551,74.32166,660.1,49.82,836.3,False
mh2.geojson:4140,16.31,74.27532,592.5,44.78,828.8,False
mh2.geojson:4141,16.30452,74.29508,636.8,46.96,848.8,False
mh2.geojson:4142,16.2778,74.30586,781.9,47.17,930.1,False
mh2.geojson:4143,16.28233,74.27344,665.6,44.18,1034.7,False
mh2.geojson:4144,16.24032,74.30284,681.8,44.09,1006.6,False
mh2.geojson:4145,16.24387,74.28266,688.1,42.74,1064.8,False
mh2.geojson:4146,16.23818,74.2893,666.6,42.79,1058.3,False
mh2.geojson:4147,16.22146,74.26827,691.5,39.53,1159.2,False
mh2.geojson:4148,16.22341,74.28211,676.3,40.82,1109.1,False
mh2.geojson:4149,16.20517,74.29285,684.1,39.84,1013.1,False
mh2.geojson:4150,16.20195,74.31493,655.7,41.24,924.0,False
mh2.geojson:4151,16.09752,74.31179,744.6,37.03,1249.8,False
mh2.geojson:4152,16.09234,74.27858,758.6,33.05,1370.2,False
mh2.geojson:4153,16.09329,74.261,765.4,30.84,1452.0,False
mh2.geojson:4154,16.08431,74.29456,754.7,35.3,1359.5,False
mh2.geojson:4155,16.07617,74.26381,777.8,31.73,1550.3,False
mh2.geojson:4156,16.07277,74.28341,796.1,34.24,1407.5,False
mh2.geojson:4157,16.05396,74.3102,746.0,37.52,1260.7,False
mh2.geojson:4158,16.03815,74.30173,731.3,36.39,1427.1,False
mh2.geojson:4159,16.03829,74.27609,752.4,33.62,1501.2,False
